FREQ	PROPOSAL 24bit
0	1.0005555883
86.1328125	1.0005555883
172.265625	1.0005555883
258.3984375	1.2631177216
344.53125	1.2631177216
430.6640625	1.2631177216
516.796875	1.2393504727
602.9296875	1.2393504727
689.0625	1.2393504727
775.1953125	1.2781318901
861.328125	1.2781318901
947.4609375	1.2781318901
1033.59375	1.3088867614
1119.7265625	1.3088867614
1205.859375	1.3088867614
1291.9921875	1.3498251471
1378.125	1.3498251471
1464.2578125	1.3498251471
1550.390625	1.5087210609
1636.5234375	1.5087210609
1722.65625	1.5087210609
1808.7890625	1.6364866702
1894.921875	1.6364866702
1981.0546875	1.6364866702
2067.1875	1.9205764155
2153.3203125	1.9205764155
2239.453125	1.9205764155
2325.5859375	2.3060169024
2411.71875	2.3060169024
2497.8515625	2.3060169024
2583.984375	2.4831331053
2670.1171875	2.4974683892
2756.25	2.4974683892
2842.3828125	2.6760855932
2928.515625	2.7214093232
3014.6484375	2.7214093232
3100.78125	2.7195684861
3186.9140625	2.7195684861
3273.046875	2.7195684861
3359.1796875	2.7813772554
3445.3125	2.8105497715
3531.4453125	2.8385090526
3617.578125	2.8652129683
3703.7109375	2.8906210048
3789.84375	2.9146943668
3875.9765625	2.937396077
3962.109375	2.9586910697
4048.2421875	2.9785462817
4134.375	2.9969307372
4220.5078125	3.0138156289
4306.640625	3.029174393
4392.7734375	3.0429827785
4478.90625	3.0552189114
4565.0390625	3.0658633524
4651.171875	3.074899148
4737.3046875	3.082311876
4823.4375	3.0880896835
4909.5703125	3.0922233186
4995.703125	3.0947061551
5081.8359375	3.0955342102
5167.96875	3.0947061551
5254.1015625	3.0922233186
5340.234375	3.0880896835
5426.3671875	3.082311876
5512.5	3.074899148
5598.6328125	3.0889159682
5684.765625	3.0790151266
5770.8984375	3.0922233186
5857.03125	3.0798389832
5943.1640625	3.0922233186
6029.296875	3.1046574525
6115.4296875	3.1171415854
6201.5625	3.1296759182
6287.6953125	3.1422606527
6373.828125	3.1548959917
6459.9609375	3.1355425098
6546.09375	3.1146407493
6632.2265625	3.0922233186
6718.359375	3.1021666322
6804.4921875	3.1121419195
6890.625	3.1221492832
6976.7578125	3.1321888265
7062.890625	3.1046574525
7149.0234375	3.1138075832
7235.15625	3.1229846813
7321.2890625	3.0922233186
7407.421875	3.1005071957
7493.5546875	3.1088132648
7579.6875	3.1171415854
7665.8203125	3.125492217
7751.953125	3.1338652195
7838.0859375	3.1422606527
7924.21875	3.1506785768
8010.3515625	3.159119052
8096.484375	3.1760678975
8182.6171875	3.1760678975
8268.75	3.2480556738
8354.8828125	3.2480556738
8441.015625	3.2480556738
8527.1484375	3.1855628113
8613.28125	3.1855628113
8699.4140625	3.1855628113
8785.546875	3.1144449488
8871.6796875	3.1144449488
8957.8125	3.1144449488
9043.9453125	3.4942728304
9130.078125	3.4942728304
9216.2109375	3.4942728304
9302.34375	4.1756723619
9388.4765625	4.1756723619
9474.609375	4.1756723619
9560.7421875	4.9117789535
9646.875	4.9117789535
9733.0078125	4.9117789535
9819.140625	5.0170221086
9905.2734375	5.0170221086
9991.40625	5.0170221086
10077.5390625	5.7663108626
10163.671875	5.7663108626
10249.8046875	5.7663108626
10335.9375	6.1552568989
10422.0703125	6.1552568989
10508.203125	6.1552568989
10594.3359375	6.4748914306
10680.46875	6.4748914306
10766.6015625	6.4748914306
10852.734375	6.1516829002
10938.8671875	6.1516829002
11025	6.1516829002
11111.1328125	6.4876450691
11197.265625	6.4876450691
11283.3984375	6.4876450691
11369.53125	6.3705164386
11455.6640625	6.3705164386
11541.796875	6.3705164386
11627.9296875	5.3234912125
11714.0625	5.3234912125
11800.1953125	5.3234912125
11886.328125	5.5584922866
11972.4609375	5.5584922866
12058.59375	5.5584922866
12144.7265625	4.968408332
12230.859375	4.968408332
12316.9921875	4.968408332
12403.125	4.6134709019
12489.2578125	4.6134709019
12575.390625	4.6134709019
12661.5234375	4.3684957432
12747.65625	4.3684957432
12833.7890625	4.3684957432
12919.921875	4.1692941196
13006.0546875	4.1692941196
13092.1875	4.1692941196
13178.3203125	3.9780500345
13264.453125	3.9780500345
13350.5859375	3.9780500345
13436.71875	3.699330924
13522.8515625	3.699330924
13608.984375	3.699330924
13695.1171875	3.4422389622
13781.25	3.4422389622
13867.3828125	3.4422389622
13953.515625	3.1139059883
14039.6484375	3.1139059883
14125.78125	3.1139059883
14211.9140625	2.897310592
14298.046875	2.897310592
14384.1796875	2.897310592
14470.3125	2.4017879929
14556.4453125	2.4017879929
14642.578125	2.4017879929
14728.7109375	2.0198957724
14814.84375	2.0198957724
14900.9765625	2.0198957724
14987.109375	1.8932180345
15073.2421875	1.8932180345
15159.375	1.8932180345
15245.5078125	2.1278685452
15331.640625	2.1278685452
15417.7734375	2.1278685452
15503.90625	2.0962733712
15590.0390625	2.0962733712
15676.171875	2.0962733712
15762.3046875	2.1038360482
15848.4375	2.1038360482
15934.5703125	2.1038360482
16020.703125	2.3931224977
16106.8359375	2.3931224977
16192.96875	2.3931224977
16279.1015625	2.4874571705
16365.234375	2.4874571705
16451.3671875	2.4874571705
16537.5	2.2882863631
16623.6328125	2.2882863631
16709.765625	2.2882863631
16795.8984375	2.1890126242
16882.03125	2.1890126242
16968.1640625	2.1890126242
17054.296875	2.0367894913
17140.4296875	2.0367894913
17226.5625	2.0367894913
17312.6953125	1.9446820637
17398.828125	1.9446820637
17484.9609375	1.9446820637
17571.09375	2.0100038473
17657.2265625	2.0100038473
17743.359375	2.0100038473
17829.4921875	1.9561086034
17915.625	1.9561086034
18001.7578125	1.9561086034
18087.890625	2.067080208
18174.0234375	2.067080208
18260.15625	2.067080208
18346.2890625	2.153953826
18432.421875	2.153953826
18518.5546875	2.153953826
18604.6875	2.2083493037
18690.8203125	2.2083493037
18776.953125	2.2083493037
18863.0859375	2.4924010085
18949.21875	2.4924010085
19035.3515625	2.4924010085
19121.484375	2.7372431141
19207.6171875	2.7372431141
19293.75	2.7372431141
19379.8828125	2.7708236458
19466.015625	2.7708236458
19552.1484375	2.7708236458
19638.28125	2.8828349513
19724.4140625	2.8828349513
19810.546875	2.8828349513
19896.6796875	3.0254434834
19982.8125	3.0254434834
20068.9453125	3.0254434834
20155.078125	3.1610351312
20241.2109375	3.1610351312
20327.34375	3.1610351312
20413.4765625	3.2124561907
20499.609375	3.2124561907
20585.7421875	3.2124561907
20671.875	3.489255507
20758.0078125	3.489255507
20844.140625	3.489255507
20930.2734375	3.6644705833
21016.40625	3.6644705833
21102.5390625	3.6644705833
21188.671875	3.7750593361
21274.8046875	3.7750593361
21360.9375	3.7750593361
21447.0703125	4.0214582365
21533.203125	4.0214582365
21619.3359375	4.0214582365
21705.46875	4.4588276832
21791.6015625	4.4588276832
21877.734375	4.4588276832
21963.8671875	4.4588276832
